GEOID,BLKGRPCE,area_demand,block_group_population_inferred,tract_pop,overlap_area,overlap_percent,tract_block_group_count
13001950100,1,78495.12133245582,1710.5,3421,0.017805963473499126,100.0,2
13001950100,2,78495.12133245582,1710.5,3421,0.013870837809999547,100.0,2
13001950200,1,38104.13080758988,830.3333333333334,2491,0.006946325565999749,99.162,3
13001950200,2,37721.71279466746,822.0,2466,0.004259042742981561,99.998,3
13001950200,3,38104.13080758988,830.3333333333334,2491,0.003120279011999681,82.786,3
13001950300,1,18310.174458725443,399.0,1596,0.00014979934849995572,100.0,4
13001950300,2,18310.174458725443,399.0,1596,0.003997859363981607,100.0,4
13001950300,3,33958.71954751085,740.0,2960,0.0005717766675000696,99.961,4
13001950300,4,33958.71954751085,740.0,2960,0.0021312976159996184,100.0,4
13001950400,1,42494.289595939255,926.0,1852,0.015898665073999504,100.0,2
13001950400,2,42494.289595939255,926.0,1852,0.021126043705998798,100.0,2
13001950500,1,56949.69048440671,1241.0,3723,0.014370211479499139,100.0,3
13001950500,2,56949.69048440671,1241.0,3723,0.011248669692999622,100.0,3
13001950500,3,56949.69048440671,1241.0,3723,0.010080185208499706,100.0,3
13003960100,1,50800.4088366142,1107.0,2214,0.010876750432499629,100.0,2
13003960100,2,50800.4088366142,1107.0,2214,0.013497887367499094,100.0,2
13003960200,1,70426.10125979278,1534.6666666666667,4604,0.011859732193999618,100.0,3
13003960200,2,70426.10125979278,1534.6666666666667,4604,0.0035965179994998688,100.0,3
13003960200,3,70426.10125979278,1534.6666666666667,4604,0.022762950133499184,100.0,3
13003960300,1,66586.62441005168,1451.0,1451,0.021939806850498823,100.0,1
13005970100,1,41285.848675104404,899.6666666666666,2699,0.015781836668499288,100.0,3
13005970100,2,41285.848675104404,899.6666666666666,2699,0.0067838691069999155,100.0,3
13005970100,3,41285.848675104404,899.6666666666666,2699,0.013263505164999573,100.0,3
13005970201,1,65699.41462007166,1431.6666666666667,4295,0.013791978172499574,100.0,3
13005970201,2,65699.41462007166,1431.6666666666667,4295,0.001766286310499752,100.0,3
13005970201,3,65699.41462007166,1431.6666666666667,4295,0.00035685756549988816,100.0,3
13005970202,1,63772.02783494267,1389.6666666666667,4169,0.012770277171999892,100.0,3
13005970202,2,63772.02783494267,1389.6666666666667,4169,0.005670216605999523,100.0,3
13005970202,3,63772.02783494267,1389.6666666666667,4169,0.00013196158199996495,100.0,3
13007960100,1,43825.10428090927,955.0,1910,0.028972048626999123,100.0,2
13007960100,2,43825.10428090927,955.0,1910,0.016972316295499015,99.985,2
13007960200,1,23358.092229301383,509.0,1018,0.021772456558998995,100.0,2
13007960200,2,23358.092229301383,509.0,1018,0.0179699821624989,100.0,2
13009970100,1,46731.48117911966,1018.3333333333334,3055,0.00666744270699971,100.0,3
13009970100,2,46731.48117911966,1018.3333333333334,3055,0.002741269409502743,100.0,3
13009970100,3,34662.3686912881,755.3333333333334,2266,0.012369581128498962,100.0,3
13009970200,1,31939.552439280473,696.0,3480,0.0003486592139999672,100.0,5
13009970200,2,31939.552439280473,696.0,3480,0.0015530488669997385,100.0,5
13009970200,3,29810.248943328443,649.6,3248,0.0013525017929998564,99.497,5
13009970200,4,29810.248943328443,649.6,3248,4.3050053999994644e-05,100.0,5
13009970200,5,29810.248943328443,649.6,3248,0.00022050775600301024,99.987,5
13009970300,1,53714.43409508304,1170.5,2341,0.002832439083999363,100.0,2
13009970300,2,79619.43029044774,1735.0,3470,0.002941775175999601,100.0,2
13009970400,1,34904.05687545507,760.6,3803,0.00011498277749996687,100.0,5
13009970400,2,34904.05687545507,760.6,3803,0.00023674348449999078,100.0,5
13009970400,3,34904.05687545507,760.6,3803,0.00014498959799993344,99.469,5
13009970400,4,34904.05687545507,760.6,3803,5.3673276999978164e-05,100.0,5
13009970400,5,34904.05687545507,760.6,3803,8.052719799996312e-05,100.0,5
13009970500,1,57423.888820430504,1251.3333333333333,3754,0.0001822525214999378,100.0,3
13009970500,2,57423.888820430504,1251.3333333333333,3754,0.0004083045561194227,99.924,3
13009970500,3,41668.26668802682,908.0,2724,0.013065327149118742,100.0,3
13009970600,1,43067.91661532288,938.5,3754,0.00030709084149994307,100.0,4
13009970600,2,43067.91661532288,938.5,3754,0.0005123394384999612,100.0,4
13009970600,3,43067.91661532288,938.5,3754,0.00012725019099992335,100.0,4
13009970600,4,43067.91661532288,938.5,3754,0.0004494756964998925,100.0,4
13009970701,1,30195.726300354243,658.0,1974,0.0001929397729999258,100.0,3
13009970701,2,30195.726300354243,658.0,1974,8.520977750001442e-05,100.0,3
13009970701,3,30195.726300354243,658.0,1974,0.00017285130099985863,100.0,3
13009970702,1,53049.02675259803,1156.0,2312,0.0002812957894999358,100.0,2
13009970702,2,53049.02675259803,1156.0,2312,0.00044422747349984675,100.0,2
13009970800,1,51224.89283095809,1116.25,4465,0.004123632545499533,100.0,4
13009970800,2,51224.89283095809,1116.25,4465,0.004510887382499678,100.0,4
13009970800,3,37056.305452182445,807.5,3230,0.002398626585999718,100.0,4
13009970800,4,37056.305452182445,807.5,3230,0.008121184918499377,100.0,4
13011970100,1,116951.07671193432,2548.5,5097,0.006919153710590311,99.934,2
13011970100,2,116951.07671193432,2548.5,5097,0.009304346200591701,99.993,2
13011970200,1,104950.7994664288,2287.0,4574,0.0107951212090633,99.984,2
13011970200,2,104950.7994664288,2287.0,4574,0.008217425616499824,100.0,2
13011970300,1,103987.1060738643,2266.0,4532,0.00592815792192267,99.99,2
13011970300,2,103987.1060738643,2266.0,4532,0.005782470409887468,99.798,2
