OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
1437,Three Rivers,Yes,13045910202,1201,Tract,2020,"Census Tract 9102.02, Carroll County",5973,1054,9.237277,646.6,257419561.93457,87143.0689979599
1438,Three Rivers,Yes,13045910201,1200,Tract,2020,"Census Tract 9102.01, Carroll County",3526,513,14.832899,237.7,413356989.147705,104012.364018598
1439,Three Rivers,Yes,13045910302,1204,Tract,2020,"Census Tract 9103.02, Carroll County",3928,706,35.49371,110.7,989179281.38208,155257.249109734
1440,Three Rivers,Yes,13045911201,1222,Tract,2020,"Census Tract 9112.01, Carroll County",2904,468,19.932417,145.7,555487980.566895,142800.757546613
1441,Three Rivers,Yes,13045910705,1211,Tract,2020,"Census Tract 9107.05, Carroll County",4953,684,10.031658,493.7,279549309.314697,92921.7293852606
1442,Atlanta Regional Commission,Yes,13117130413,2197,Tract,2020,"Census Tract 1304.13, Forsyth County",2725,396,1.99264,1367.5,55527411.3933105,36302.277575899
1443,Atlanta Regional Commission,Yes,13117130414,2198,Tract,2020,"Census Tract 1304.14, Forsyth County",4924,828,2.562769,1921.4,71414671.5393066,41033.6383176519
1444,Atlanta Regional Commission,Yes,13117130512,2208,Tract,2020,"Census Tract 1305.12, Forsyth County",3050,398,4.712315,647.2,131313058.39624,48130.2983184674
1445,Atlanta Regional Commission,Yes,13117130511,2207,Tract,2020,"Census Tract 1305.11, Forsyth County",5988,1092,2.345342,2553.1,65354907.4106445,43661.2434312882
1446,Atlanta Regional Commission,Yes,13117130411,2195,Tract,2020,"Census Tract 1304.11, Forsyth County",1815,235,5.730052,316.8,159676041.14624,80387.6586294018
1447,Atlanta Regional Commission,Yes,13117130412,2196,Tract,2020,"Census Tract 1304.12, Forsyth County",3686,470,5.626741,655.1,156797672.49585,64707.9091886644
1448,Atlanta Regional Commission,Yes,13117130415,2199,Tract,2020,"Census Tract 1304.15, Forsyth County",3263,403,2.827397,1154.1,78789128.3730469,42863.7401427822
1449,Atlanta Regional Commission,Yes,13117130614,2221,Tract,2020,"Census Tract 1306.14, Forsyth County",4242,590,2.059714,2059.5,57395155.9453125,31337.16801431
1450,Atlanta Regional Commission,Yes,13117130615,2222,Tract,2020,"Census Tract 1306.15, Forsyth County",3044,338,1.644601,1850.9,45827699.2963867,30294.16390831
1451,River Valley,No,13261950200,3549,Tract,2020,"Census Tract 9502, Sumter County",5069,691,23.113791,219.3,643801077.909668,118168.467498277
1452,River Valley,No,13261950400,3551,Tract,2020,"Census Tract 9504, Sumter County",2673,507,141.67059,18.9,3946017503.03772,334646.858895015
1453,River Valley,No,13261950100,3548,Tract,2020,"Census Tract 9501, Sumter County",1375,419,99.360001,13.8,2767553558.97961,312964.114346733
1454,River Valley,No,13261950500,3552,Tract,2020,"Census Tract 9505, Sumter County",3587,639,54.199081,66.2,1509609102.73352,182421.419390576
1455,River Valley,No,13261950300,3550,Tract,2020,"Census Tract 9503, Sumter County",6319,805,32.519382,194.3,905787966.260254,138803.871294308
1456,River Valley,No,13261950700,3554,Tract,2020,"Census Tract 9507, Sumter County",6358,856,22.996471,276.5,640526597.094727,147285.594809176
1457,River Valley,No,13261950600,3553,Tract,2020,"Census Tract 9506, Sumter County",2338,384,0.951708,2456.6,26508430.8326416,27594.5119190485
1458,River Valley,No,13261950800,3555,Tract,2020,"Census Tract 9508, Sumter County",1971,419,118.14442,16.7,3290670795.70361,277800.682282221
1459,Atlanta Regional Commission,Yes,13151070120,2943,Tract,2020,"Census Tract 701.20, Henry County",2424,778,0.966481,2508.1,26928202.4794922,21725.3513951352
1460,Atlanta Regional Commission,Yes,13151070408,2983,Tract,2020,"Census Tract 704.08, Henry County",3671,775,6.395275,574,178182167.092773,61189.2105867753
1461,Atlanta Regional Commission,Yes,13151070207,2954,Tract,2020,"Census Tract 702.07, Henry County",2945,539,4.035977,729.7,112451240.0271,63291.1198374913
1462,Atlanta Regional Commission,Yes,13151070211,2958,Tract,2020,"Census Tract 702.11, Henry County",4347,618,4.799445,905.7,133722233.854004,60337.7751655372
1463,Atlanta Regional Commission,Yes,13151070209,2956,Tract,2020,"Census Tract 702.09, Henry County",3641,619,5.13724,708.7,143132149.863525,55792.7165843482
1464,Atlanta Regional Commission,Yes,13151070407,2982,Tract,2020,"Census Tract 704.07, Henry County",4023,542,7.948846,506.1,221465332.285889,83547.6173029093
1465,Atlanta Regional Commission,Yes,13151070315,2969,Tract,2020,"Census Tract 703.15, Henry County",4653,535,3.12913,1487,87183554.7609863,38900.5912650711
1466,Atlanta Regional Commission,Yes,13151070212,2959,Tract,2020,"Census Tract 702.12, Henry County",3259,770,2.600559,1253.2,72457065.270752,59330.5018895396
1467,Northeast Georgia,No,13157010601,3045,Tract,2020,"Census Tract 106.01, Jackson County",5304,733,24.986546,212.3,696324910.075439,132449.699219612
1468,Northeast Georgia,No,13157010602,3046,Tract,2020,"Census Tract 106.02, Jackson County",5363,673,36.341064,147.6,1012738578.16943,179327.76213085
1469,Northeast Georgia,No,13157010706,3051,Tract,2020,"Census Tract 107.06, Jackson County",4000,591,6.806986,587.6,189693682.626709,67474.3385701854
1470,Northeast Georgia,No,13157010105,3036,Tract,2020,"Census Tract 101.05, Jackson County",3730,600,10.832675,344.3,301874535.224121,102301.091975477
1471,Northeast Georgia,No,13157010107,3038,Tract,2020,"Census Tract 101.07, Jackson County",4559,809,9.441045,482.9,263090566.397461,85107.6033506576
1472,Northeast Georgia,No,13157010106,3037,Tract,2020,"Census Tract 101.06, Jackson County",3541,258,12.786751,276.9,356322202.431641,96958.1463865442
1473,Northeast Georgia,No,13157010104,3035,Tract,2020,"Census Tract 101.04, Jackson County",4979,730,22.248278,223.8,620000775.569824,124589.063557607
1474,Northeast Georgia,No,13157010108,3039,Tract,2020,"Census Tract 101.08, Jackson County",3097,452,12.754844,242.8,355437844.513672,80555.6308837595
1475,Northeast Georgia,No,13157010109,3040,Tract,2020,"Census Tract 101.09, Jackson County",3734,481,5.483908,680.9,152817393.443604,53582.9267997583
1476,Northeast Georgia,No,13157010704,3049,Tract,2020,"Census Tract 107.04, Jackson County",3760,559,11.610126,323.9,323548880.378418,84283.8682174638
1477,Northeast Georgia,No,13157010705,3050,Tract,2020,"Census Tract 107.05, Jackson County",4606,647,9.008043,511.3,251030272.077148,90614.0499859137
1478,Northeast Georgia,No,13133950100,2616,Tract,2020,"Census Tract 9501, Greene County",1912,321,138.91769,13.8,3871362997.88086,361287.246869985
1479,Northeast Georgia,No,13133950200,2617,Tract,2020,"Census Tract 9502, Greene County",2223,384,47.157173,47.1,1314286744.36353,188507.133585121
1480,Northeast Georgia,No,13133950400,2622,Tract,2020,"Census Tract 9504, Greene County",945,264,33.415726,28.3,931277295.338379,174074.138837477
1481,Northeast Georgia,No,13133950500,2623,Tract,2020,"Census Tract 9505, Greene County",1608,244,67.971573,23.7,1894257656.69507,220628.822278632
1482,Northeast Georgia,No,13211010100,3224,Tract,2020,"Census Tract 101, Morgan County",3409,421,69.561058,49,1938387256.15381,268030.249216476
1483,Northeast Georgia,No,13211010200,3225,Tract,2020,"Census Tract 102, Morgan County",3900,463,72.312691,53.9,2014953768.34644,214014.001318505
1484,Northeast Georgia,No,13211010500,3229,Tract,2020,"Census Tract 105, Morgan County",1867,308,71.629768,26.1,1995917059.70508,226458.404805934
1485,Northeast Georgia,No,13211010400,3228,Tract,2020,"Census Tract 104, Morgan County",3243,410,64.797035,50,1805634955.61816,186826.723670984
1486,Northeast Georgia,No,13219030401,3328,Tract,2020,"Census Tract 304.01, Oconee County",1929,504,5.097908,378.4,142064658.568115,59976.7668777782
1487,Atlanta Regional Commission,Yes,13089021502,1857,Tract,2020,"Census Tract 215.02, DeKalb County",4343,441,1.388632,3127.5,38692854.8947754,27830.0671448938
1488,Atlanta Regional Commission,Yes,13089021602,1861,Tract,2020,"Census Tract 216.02, DeKalb County",3550,314,1.231726,2882.1,34320739.8557129,25864.9146136019
1489,Atlanta Regional Commission,Yes,13135050466,2723,Tract,2020,"Census Tract 504.66, Gwinnett County",3131,741,1.608799,1946.2,44827646.317627,27833.9844042585
1490,Atlanta Regional Commission,Yes,13135050465,2722,Tract,2020,"Census Tract 504.65, Gwinnett County",3747,560,1.701311,2202.4,47405521.9943848,31341.6438607007
1491,Southern Georgia,No,13185010204,3140,Tract,2020,"Census Tract 102.04, Lowndes County",8245,850,20.381552,404.5,567649266.218384,140623.405706761
1492,Southern Georgia,No,13185011404,3160,Tract,2020,"Census Tract 114.04, Lowndes County",3630,740,85.457275,42.5,2379963868.94781,250735.54165458
1493,Southern Georgia,No,13185011405,3161,Tract,2020,"Census Tract 114.05, Lowndes County",4651,753,42.593349,109.2,1186234750.44855,199034.281656798
1494,Southern Georgia,No,13185010801,3150,Tract,2020,"Census Tract 108.01, Lowndes County",4080,993,6.918829,589.7,192699825.77417,63158.3669284879
1495,Southern Georgia,No,13185010203,3139,Tract,2020,"Census Tract 102.03, Lowndes County",4829,443,32.533134,148.4,906097095.902588,149572.966173938
1496,Southern Georgia,No,13185010403,3144,Tract,2020,"Census Tract 104.03, Lowndes County",3277,764,0.520439,6296.6,14494997.2893677,15606.4352621576
1497,Southern Georgia,No,13185010404,3145,Tract,2020,"Census Tract 104.04, Lowndes County",5556,860,1.083121,5129.6,30166432.6987915,22258.1988958509
1498,Southern Georgia,No,13185010802,3151,Tract,2020,"Census Tract 108.02, Lowndes County",1777,272,0.693746,2561.5,19321664.970459,21103.5650031401
1499,Atlanta Regional Commission,Yes,13135050463,2720,Tract,2020,"Census Tract 504.63, Gwinnett County",3597,711,0.67013,5367.6,18672638.1184082,20293.5664958449
